"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","good",109S,213.5S,1,"Crowley:","No",2,1,7.89,1.24,3.66,2.72,6.41,2.18,3,7.47,1.45,5.43,2.85,6.41,2.05
"2","evening",109S,213.5S,1,"Crowley:","No",2,2,7.09,1.87,3.1,2,5.22,2.21,NA,NA,NA,NA,NA,NA,NA
"3","from",109S,213.5S,1,"Crowley:","No",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","hofstra",109S,213.5S,1,"Crowley:","No",2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","university",109S,213.5S,1,"Crowley:","No",2,5,6.95,1.15,4.24,2.36,5.7,2.58,NA,NA,NA,NA,NA,NA,NA
"6","in",109S,213.5S,1,"Crowley:","No",2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","hempstead",109S,213.5S,1,"Crowley:","No",2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","new",109S,213.5S,1,"Crowley:","No",2,8,7.68,1.29,5.14,2.82,5.22,2.02,NA,NA,NA,NA,NA,NA,NA
"9","york",109S,213.5S,1,"Crowley:","No",2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","i'm",109S,213.5S,1,"Crowley:","No",2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","candy",109S,213.5S,1,"Crowley:","No",2,11,7.27,1.78,5.03,2.33,6.46,1.86,NA,6.54,2.09,4.58,2.4,5.33,1.91
"12","crowley",109S,213.5S,1,"Crowley:","No",2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","from",109S,213.5S,1,"Crowley:","No",2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","cnn's",109S,213.5S,1,"Crowley:","No",2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","state",109S,213.5S,1,"Crowley:","No",2,15,5.73,1.32,3.29,1.85,5.65,1.9,NA,NA,NA,NA,NA,NA,NA
"16","of",109S,213.5S,1,"Crowley:","No",2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","the",109S,213.5S,1,"Crowley:","No",2,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","union",109S,213.5S,1,"Crowley:","No",2,18,5.85,1.27,4.05,2.82,5.68,1.84,NA,6.48,1.66,4.79,1.88,6.14,1.55
"19","we",109S,213.5S,1,"Crowley:","No",2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","are",109S,213.5S,1,"Crowley:","No",2,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","here",109S,213.5S,1,"Crowley:","No",2,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","for",109S,213.5S,1,"Crowley:","No",2,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","the",109S,213.5S,1,"Crowley:","No",2,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","second",109S,213.5S,1,"Crowley:","No",2,24,5.23,1.57,3.48,1.91,5.35,2.06,NA,NA,NA,NA,NA,NA,NA
"25","presidential",109S,213.5S,1,"Crowley:","No",2,25,4.95,1.35,4.06,2.24,5.18,2.81,NA,NA,NA,NA,NA,NA,NA
"26","debate",109S,213.5S,1,"Crowley:","No",2,26,4.95,1.39,4.86,2.41,5.96,2.41,NA,NA,NA,NA,NA,NA,NA
"27","a",109S,213.5S,1,"Crowley:","No",2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","town",109S,213.5S,1,"Crowley:","No",2,28,5.59,1.5,3.81,2.06,5.47,1.94,NA,5.93,1.61,4.29,2.31,4.64,1.73
