"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","ladies",277.7S,285.7S,1,"RADDATZ:","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","and",277.7S,285.7S,1,"RADDATZ:","No",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","gentlemen",277.7S,285.7S,1,"RADDATZ:","No",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","the",277.7S,285.7S,1,"RADDATZ:","No",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","republican",277.7S,285.7S,1,"RADDATZ:","No",5,4.26,2.02,3.11,1.84,5.4,3,NA,NA,NA,NA,NA,NA,NA
"6","nominee",277.7S,285.7S,1,"RADDATZ:","No",6,5.5,1.19,4.4,2.63,5.75,2.09,NA,NA,NA,NA,NA,NA,NA
"7","for",277.7S,285.7S,1,"RADDATZ:","No",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","president",277.7S,285.7S,1,"RADDATZ:","No",8,5.23,1.57,4.71,2.69,4.38,2.73,NA,5.2,2.17,5.63,2.14,4.77,2.6
"9","donald",277.7S,285.7S,1,"RADDATZ:","No",9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","j",277.7S,285.7S,1,"RADDATZ:","No",10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","trump",277.7S,285.7S,1,"RADDATZ:","No",11,4.18,1.68,3.33,1.98,5.86,1.71,NA,NA,NA,NA,NA,NA,NA
