"","word","StartTime","EndTime","Turn","Interlocutor","Interruption","Debate","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew"
"1","good",104S,267.1S,1,"Lehrer:","No",1,1,7.89,1.24,3.66,2.72,6.41,2.18,3,7.47,1.45,5.43,2.85,6.41,2.05
"2","evening",104S,267.1S,1,"Lehrer:","No",1,2,7.09,1.87,3.1,2,5.22,2.21,NA,NA,NA,NA,NA,NA,NA
"3","from",104S,267.1S,1,"Lehrer:","No",1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","the",104S,267.1S,1,"Lehrer:","No",1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","magness",104S,267.1S,1,"Lehrer:","No",1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","arena",104S,267.1S,1,"Lehrer:","No",1,6,5.75,1.45,4.23,2.58,6.04,2.31,NA,6.4,1.61,6.43,2.05,5.1,2.02
"7","at",104S,267.1S,1,"Lehrer:","No",1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","the",104S,267.1S,1,"Lehrer:","No",1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","university",104S,267.1S,1,"Lehrer:","No",1,9,6.95,1.15,4.24,2.36,5.7,2.58,NA,NA,NA,NA,NA,NA,NA
"10","of",104S,267.1S,1,"Lehrer:","No",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","denver",104S,267.1S,1,"Lehrer:","No",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","in",104S,267.1S,1,"Lehrer:","No",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","denver",104S,267.1S,1,"Lehrer:","No",1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","colorado",104S,267.1S,1,"Lehrer:","No",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
