"","Turn","Interlocutor","Speech","Interruption","StartTime","EndTime","Order","ValenceWarriner","ValenceUncertaintyWarriner","ArousalWarriner","ArousalUncertaintyWarriner","DominanceWarriner","DominanceUncertaintyWarriner","ValenceAfinn","ValenceAnew","ValenceUncertaintyAnew","ArousalAnew","ArousalUncertaintyAnew","DominanceAnew","DominanceUncertaintyAnew","DebateN","Race"
"671",1,"Moderator","Good evening from Hofstra University in Hempstead, New York. I’m Lester Holt, anchor of “NBC Nightly News.” I want to welcome you to the first presidential debate. The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization. The commission drafted tonight’s format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long. We’ll explore three topic areas tonight: Achieving prosperity; America’s direction; and securing America. At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond. From that point until the end of the segment, we’ll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns. The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying. I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump.","No",NA,284.7,104,5.74609375,1.6034375,3.9371875,2.28625,5.744375,2.200625,1.45454545454545,5.36818181818182,1.77727272727273,4.89818181818182,2.17818181818182,5.03090909090909,2.05,1,"2016"
"672",2,"Clinton","How are you, Donald?","No",292.6,293.3,209.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"673",3,"Trump","(INAUDIBLE)","No",293.3,293.9,212,3.61,1.58,3.33,2.55,4.26,2.4,NA,NA,NA,NA,NA,NA,NA,1,"2016"
"674",4,"Moderator","Good luck to you.","No",299.7,300.3,214.5,7.31,1.585,4.115,2.795,6.235,2.38,3,7.44,1.455,5.94,2.29,5.69,2.21,1,"2016"
"675",5,"Clinton","Good to see you. Thank you.","No",300.4,301,219.5,7.31,1.42,3.63,2.43666666666667,6.43333333333333,2.12666666666667,2.5,7.47,1.45,5.43,2.85,6.41,2.05,1,"2016"
"676",6,"Moderator","Well, I don’t expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled. We are going to focus on many of the issues that voters tell us are most important, and we’re going to press for specifics. I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people. Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let’s begin. We’re calling this opening segment “Achieving Prosperity.” And central to that is jobs. There are two economic realities in America today. There’s been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation. However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck. Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American workers?","No",311.3,374.4,316.5,5.95391304347826,1.60369565217391,4.15282608695652,2.31326086956522,5.77282608695652,2.19891304347826,1.55555555555556,6.37333333333333,1.65666666666667,5.17444444444445,2.13333333333333,5.94777777777778,1.93777777777778,1,"2016"
"677",7,"Clinton","Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we’ll build together. Today is my granddaughter’s second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top. That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future. That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business. We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women’s work. I also want to see more companies do profit-sharing. If you help create the profits, you should be able to share in them, not just the executives at the top. And I want us to do more to support people who are struggling to balance family and work. I’ve heard from so many of you about the difficult choices you face and the stresses that you’re under. So let’s have paid family leave, earned sick days. Let’s be sure we have affordable child care and debt-free college. How are we going to do it? We’re going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I. Donald, it’s good to be with you. We’re going to have a debate where we are talking about the important issues facing our country. You have to judge us; who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better. I hope that I will be able to earn your vote on November 8th.","No",374.8,497.3,578.5,6.06436974789916,1.71453781512605,4.13663865546218,2.2827731092437,5.85512605042017,2.22831932773109,1.13888888888889,6.238,1.77333333333333,5.48444444444444,2.28355555555556,5.55755555555556,2.09555555555556,1,"2016"
"678",8,"Moderator","Secretary Clinton, thank you. Mr. Trump, the same question to you. It’s about putting money — more money into the pockets of American workers. You have up to two minutes.","No",498.3,505,761,6.23125,1.84375,4.3375,2.28625,6.09,2.3425,2,6.98,1.36666666666667,5.35333333333333,2.45333333333333,6.12,2.09333333333333,1,"2016"
"679",9,"Trump","Thank you, Lester. Our jobs are fleeing the country. They’re going to Mexico. They’re going to many other countries. You look at what China is doing to our country in terms of making our product. They’re devaluing their currency, and there’s nobody in our government to fight them. And we have a very good fight. And we have a winning fight. Because they’re using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So we’re losing our good jobs, so many of them. When you look at what’s happening in Mexico, a friend of mine who builds plants said it’s the eighth wonder of the world. They’re building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving. You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They’re all leaving. And we can’t allow it to happen any more. As far as child care is concerned and so many other things, I think Hillary and I agree on that. We probably disagree a little bit as to numbers and amounts and what we’re going to do, but perhaps we’ll be talking about that later. But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people. All you have to do is take a look at Carrier air conditioning in Indianapolis. They left — fired 1,400 people. They’re going to Mexico. So many hundreds and hundreds of companies are doing this. We cannot let it happen. Under my plan, I’ll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses. That’s going to be a job creator like we haven’t seen since Ronald Reagan. It’s going to be a beautiful thing to watch. Companies will come. They will build. They will expand. New companies will start. And I look very, very much forward to doing it. We have to renegotiate our trade deals, and we have to stop these countries from stealing our companies and our jobs.","No",505.4,633.7,965,5.77978021978022,1.66494505494505,3.8478021978022,2.28527472527473,5.70373626373626,2.17241758241758,0.6,5.84088235294118,1.66470588235294,5.35176470588235,2.15852941176471,5.52470588235294,1.99588235294118,1,"2016"
"680",10,"Moderator","Secretary Clinton, would you like to respond?","No",634.7,635.9,1158,6.06,1.63,3.775,2.28,6.225,1.8125,2,6.64,1.51,5.645,2.12,5.635,2.155,1,"2016"
